stabilized,delivery_month,stabilization_month,leaseup_months,ProjID,Name,Submarket,Quantity,AreaPerUnit,YearBuilt,market
True,2019-04-01,2019-08-01,4.0,10255043,22 North Apartments,Cedar Park,240,1098,2018,"Austin-Round Rock, TX"
True,2008-04-01,2009-04-01,12.0,19148,3500 Westlake,Southwest Austin,175,1155,2008,"Austin-Round Rock, TX"
True,2016-04-01,2017-07-01,15.0,48136,422 At The Lake,South Austin,207,816,2016,"Austin-Round Rock, TX"
True,2008-12-01,2009-08-01,8.0,19625,5th Street Commons,Downtown/University,150,864,2009,"Austin-Round Rock, TX"
True,2015-08-01,2016-09-01,13.0,53901,7East,East Austin,186,750,2016,"Austin-Round Rock, TX"
True,2013-08-01,2014-09-01,13.0,37301,95 Twenty,Cedar Park,334,924,2014,"Austin-Round Rock, TX"
True,2009-03-01,2009-11-01,8.0,27065,Agave at South Congress,Far South Austin,195,934,2009,"Austin-Round Rock, TX"
False,2019-09-01,,,91974,Alexan Garza Ranch,Southwest Austin,370,878,2020,"Austin-Round Rock, TX"
True,2019-01-01,2019-08-01,7.0,91008,Altair Tech Ridge,North Central Austin,230,950,2019,"Austin-Round Rock, TX"
True,2016-09-01,2018-05-01,20.0,46261,Altis Lakeline,Cedar Park,354,985,2017,"Austin-Round Rock, TX"
True,2008-04-01,2009-11-01,19.0,19410,AMLI 300,Downtown/University,154,973,2008,"Austin-Round Rock, TX"
True,2010-04-01,2010-09-01,5.0,34139,AMLI 5350,Near North Austin,175,832,2010,"Austin-Round Rock, TX"
True,2015-04-01,2016-01-01,9.0,38303,AMLI at Mueller,East Austin,280,819,2015,"Austin-Round Rock, TX"
True,2015-11-01,2017-03-01,16.0,60618,AMLI Covered Bridge,Southwest Austin,360,981,2016,"Austin-Round Rock, TX"
True,2008-04-01,2009-08-01,16.0,18255,AMLI Eastside,East Austin,290,956,2007,"Austin-Round Rock, TX"
True,2008-04-01,2008-09-01,5.0,19035,AMLI on 2ND,Downtown/University,231,898,2008,"Austin-Round Rock, TX"
True,2017-10-01,2018-09-01,11.0,64806,AMLI on Aldrich,East Austin,318,1006,2018,"Austin-Round Rock, TX"
True,2010-04-01,2011-11-01,19.0,34038,AMLI South Shore,Riverside,375,887,2010,"Austin-Round Rock, TX"
False,2020-07-01,,,82358,AMLI South Shore II,Riverside,68,1249,2020,"Austin-Round Rock, TX"
True,2015-06-01,2016-02-01,8.0,53644,Anatole at Westinghouse,Round Rock/Georgetown,250,879,2015,"Austin-Round Rock, TX"
False,2019-12-01,,,10253510,Anthem at Ledge Stone,Southwest Austin,292,933,2020,"Austin-Round Rock, TX"
True,2017-01-01,2018-06-01,17.0,53307,Arrington Ridge,Round Rock/Georgetown,312,977,2017,"Austin-Round Rock, TX"
True,2014-12-01,2016-10-01,22.0,44494,Ascent Arboretum,Arboretum,330,809,2015,"Austin-Round Rock, TX"
True,2009-09-01,2010-10-01,13.0,26436,Ashton Austin,Downtown/University,259,1320,2009,"Austin-Round Rock, TX"
True,2015-08-01,2016-06-01,10.0,57105,Aura 33Hundred,Pflugerville/Wells Branch,348,880,2015,"Austin-Round Rock, TX"
False,2019-07-01,,,79221,Aura Riverside,Riverside,368,958,2019,"Austin-Round Rock, TX"
True,2008-04-01,2009-08-01,16.0,19145,Autumn Ranch on Swenson Farms,Pflugerville/Wells Branch,336,1041,2008,"Austin-Round Rock, TX"
True,2008-04-01,2010-05-01,25.0,19373,Avanti Hills at the Galleria,Southwest Austin,309,949,2008,"Austin-Round Rock, TX"
True,2015-10-01,2017-05-01,19.0,52711,Azul Lakeshore,Riverside,295,776,2016,"Austin-Round Rock, TX"
True,2017-07-01,2018-08-01,13.0,58032,Bartz Ranch,Round Rock/Georgetown,296,1042,2018,"Austin-Round Rock, TX"
True,2014-03-01,2016-03-01,24.0,52209,Bell at Four Points,Far West Austin,344,1016,2014,"Austin-Round Rock, TX"
True,2009-03-01,2009-12-01,9.0,19962,Bell at Teravista,Round Rock/Georgetown,318,920,2009,"Austin-Round Rock, TX"
True,2012-02-01,2012-10-01,8.0,35687,Bell Austin Southwest,Southwest Austin,272,908,2012,"Austin-Round Rock, TX"
True,2009-12-01,2010-05-01,5.0,26420,Bell Hill Country,Southwest Austin,276,968,2009,"Austin-Round Rock, TX"
True,2010-09-01,2011-02-01,5.0,43125,Bell Quarry Hill,Southwest Austin,148,872,2010,"Austin-Round Rock, TX"
True,2014-12-01,2017-07-01,31.0,37407,Bell South Lamar,South Austin,357,865,2016,"Austin-Round Rock, TX"
True,2018-01-01,2019-01-01,12.0,86202,Bell Southpark,Far South Austin,330,870,2018,"Austin-Round Rock, TX"
True,2015-03-01,2016-05-01,14.0,38381,Bell Steiner Ranch,Far West Austin,302,1079,2016,"Austin-Round Rock, TX"
True,2015-07-01,2016-07-01,12.0,45569,Belterra Springs,Southwest Austin,152,950,2016,"Austin-Round Rock, TX"
True,2016-08-01,2017-08-01,12.0,50902,Berkshire Lakeway,Southwest Austin,350,1073,2017,"Austin-Round Rock, TX"
True,2015-12-01,2017-01-01,13.0,45127,Bexley 3Five,Southeast Austin,338,916,2016,"Austin-Round Rock, TX"
True,2008-04-01,2009-05-01,13.0,19170,Bexley at Silverado,Cedar Park,300,972,2007,"Austin-Round Rock, TX"
True,2013-09-01,2014-06-01,9.0,47606,Bexley at Tech Ridge,North Central Austin,342,927,2014,"Austin-Round Rock, TX"
True,2014-11-01,2016-02-01,15.0,47574,Bexley at Whitestone,Cedar Park,340,1047,2015,"Austin-Round Rock, TX"
True,2015-08-01,2016-07-01,11.0,42731,Bexley Lakeline,Cedar Park,344,888,2016,"Austin-Round Rock, TX"
True,2017-08-01,2019-08-01,24.0,81450,Bexley Wolf Ranch,Round Rock/Georgetown,332,927,2018,"Austin-Round Rock, TX"
True,2018-08-01,2019-06-01,10.0,82239,Biltmore at the Park,Pflugerville/Wells Branch,254,838,2018,"Austin-Round Rock, TX"
True,2011-05-01,2011-11-01,6.0,45204,Blanco River Lodge,San Marcos,186,847,2011,"Austin-Round Rock, TX"
True,2015-06-01,2016-07-01,13.0,52374,Broadstone 8 One Hundred,Northwest Austin,376,807,2016,"Austin-Round Rock, TX"
True,2009-09-01,2010-09-01,12.0,26404,Broadstone Grand Avenue,Pflugerville/Wells Branch,280,833,2009,"Austin-Round Rock, TX"
True,2009-07-01,2009-09-01,2.0,26391,Broadstone Travesia,Pflugerville/Wells Branch,396,885,2009,"Austin-Round Rock, TX"
True,2014-05-01,2015-02-01,9.0,45066,Burnet Flats,Near North Austin,185,790,2014,"Austin-Round Rock, TX"
False,2019-12-01,,,10087244,Caliza,Cedar Park,270,940,2020,"Austin-Round Rock, TX"
True,2008-06-01,2009-05-01,11.0,19776,Camden Brushy Creek,Cedar Park,272,883,2008,"Austin-Round Rock, TX"
True,2008-04-01,2009-06-01,14.0,19551,Camden Cedar Hills,Southwest Austin,208,911,2008,"Austin-Round Rock, TX"
True,2015-03-01,2015-05-01,2.0,43357,Camden La Frontera,Round Rock/Georgetown,300,901,2015,"Austin-Round Rock, TX"
True,2014-07-01,2015-06-01,11.0,34951,Camden Lamar Heights,Near North Austin,314,838,2015,"Austin-Round Rock, TX"
True,2016-06-01,2017-09-01,15.0,49990,Camden Rainey,Downtown/University,326,873,2016,"Austin-Round Rock, TX"
True,2012-11-01,2013-11-01,12.0,37576,Century Stone Hill,Pflugerville/Wells Branch,370,953,2013,"Austin-Round Rock, TX"
True,2017-02-01,2019-07-01,29.0,71860,Century Travesia,Pflugerville/Wells Branch,445,1015,2017,"Austin-Round Rock, TX"
True,2013-08-01,2016-03-01,31.0,80662,Cielo,Southwest Austin,554,997,2014,"Austin-Round Rock, TX"
False,2020-03-01,,,10252099,Citadel at Tech Ridge,North Central Austin,308,863,2020,"Austin-Round Rock, TX"
True,2009-03-01,2010-06-01,15.0,20685,City North at Sunrise Ranch,Round Rock/Georgetown,384,949,2009,"Austin-Round Rock, TX"
True,2014-09-01,2015-08-01,11.0,41571,Coldwater,South Austin,225,882,2015,"Austin-Round Rock, TX"
True,2009-09-01,2010-02-01,5.0,26406,Cole,South Austin,119,1081,2009,"Austin-Round Rock, TX"
True,2008-10-01,2009-12-01,14.0,18272,Colonial Grand at Ashton Oaks,Round Rock/Georgetown,362,849,2009,"Austin-Round Rock, TX"
True,2012-09-01,2013-07-01,10.0,34037,Colonial Grand at Double Creek,Far South Austin,296,939,2013,"Austin-Round Rock, TX"
True,2008-04-01,2009-03-01,11.0,19124,Colonial Grand at Onion Creek,Far South Austin,300,1042,2009,"Austin-Round Rock, TX"
True,2008-12-01,2009-08-01,8.0,19624,Colonial Grand at Wells Branch,Pflugerville/Wells Branch,336,933,2008,"Austin-Round Rock, TX"
True,2016-07-01,2019-10-01,39.0,66090,Concord,Southeast Austin,346,1019,2016,"Austin-Round Rock, TX"
True,2014-12-01,2016-07-01,19.0,37409,Corazon,East Austin,256,832,2015,"Austin-Round Rock, TX"
True,2014-03-01,2015-06-01,15.0,49698,Cordevalle Apartments,Round Rock/Georgetown,280,788,2014,"Austin-Round Rock, TX"
True,2015-10-01,2016-09-01,11.0,44461,Cortland Onion Creek,Far South Austin,276,828,2016,"Austin-Round Rock, TX"
True,2009-03-01,2010-11-01,20.0,19836,Cortland Southpark Estates II,Far South Austin,426,879,2009,"Austin-Round Rock, TX"
True,2009-03-01,2010-11-01,20.0,19837,Cortland Southpark Terraces,Far South Austin,244,926,2009,"Austin-Round Rock, TX"
True,2016-10-01,2016-11-01,1.0,66166,Creekside at Kenney`s Fort,Round Rock/Georgetown,250,869,2017,"Austin-Round Rock, TX"
True,2018-08-01,2020-09-01,25.0,70694,Creekside on Parmer Lane,East Austin,300,967,2019,"Austin-Round Rock, TX"
True,2008-08-01,2009-07-01,11.0,19965,Crescent,South Austin,157,699,2008,"Austin-Round Rock, TX"
True,2009-09-01,2010-09-01,12.0,41406,Crest at Round Rock,Round Rock/Georgetown,224,778,2009,"Austin-Round Rock, TX"
True,2018-12-01,2019-06-01,6.0,42294,Crestview Commons,Near North Austin,353,826,2018,"Austin-Round Rock, TX"
False,2020-04-01,,,70636,Davies Ranch,East Austin,360,1000,2021,"Austin-Round Rock, TX"
True,2012-08-01,2013-10-01,14.0,35677,District at SoCo,South Austin,215,915,2012,"Austin-Round Rock, TX"
True,2018-01-01,2019-01-01,12.0,66089,E6,East Austin,208,820,2018,"Austin-Round Rock, TX"
False,2019-11-01,,,72166,East Vue Ranch,Riverside,342,815,2020,"Austin-Round Rock, TX"
True,2015-12-01,2018-05-01,29.0,56313,Eastside Station,East Austin,330,775,2017,"Austin-Round Rock, TX"
True,2014-12-01,2015-08-01,8.0,44001,Echo,Near North Austin,274,880,2015,"Austin-Round Rock, TX"
True,2018-07-01,2019-11-01,16.0,86303,Edgewater,Pflugerville/Wells Branch,326,785,2018,"Austin-Round Rock, TX"
True,2019-02-01,2020-02-01,12.0,82302,Edison,Riverside,354,956,2019,"Austin-Round Rock, TX"
True,2014-03-01,2015-02-01,11.0,42296,Elan East,East Austin,251,728,2014,"Austin-Round Rock, TX"
True,2017-11-01,2019-03-01,16.0,59175,Elan Parkside I,North Central Austin,255,878,2018,"Austin-Round Rock, TX"
True,2013-10-01,2014-10-01,12.0,37272,Eleven,East Austin,257,797,2014,"Austin-Round Rock, TX"
True,2018-02-01,2019-07-01,17.0,86205,Enclave Falcon Pointe,Pflugerville/Wells Branch,324,950,2018,"Austin-Round Rock, TX"
True,2018-03-01,2019-03-01,12.0,70684,Estancia Villas,Far South Austin,312,837,2018,"Austin-Round Rock, TX"
True,2014-08-01,2017-08-01,36.0,38849,Estates at Bee Cave,Southwest Austin,316,973,2015,"Austin-Round Rock, TX"
False,2019-06-01,,,10254214,Estraya Georgetown,Round Rock/Georgetown,270,925,2020,"Austin-Round Rock, TX"
True,2014-02-01,2015-04-01,14.0,43844,Ethos Apartments,Southeast Austin,370,897,2014,"Austin-Round Rock, TX"
True,2017-07-01,2018-07-01,12.0,70690,Farmhouse,Southeast Austin,235,855,2017,"Austin-Round Rock, TX"
False,2020-03-01,,,87387,FiveTwo at Highland,North Central Austin,390,888,2020,"Austin-Round Rock, TX"
False,2019-03-01,,,79461,Flatiron Domain,North Central Austin,364,826,2020,"Austin-Round Rock, TX"
True,2019-02-01,2019-11-01,9.0,71391,Flora,Near North Austin,194,755,2019,"Austin-Round Rock, TX"
True,2010-03-01,2011-05-01,14.0,34164,Fox Hill,Southwest Austin,288,1066,2010,"Austin-Round Rock, TX"
True,2014-01-01,2014-11-01,10.0,37791,Gables Park Tower,Downtown/University,223,1006,2014,"Austin-Round Rock, TX"
False,2019-09-01,,,35651,Gables Republic Square,Downtown/University,221,967,2020,"Austin-Round Rock, TX"
True,2015-08-01,2015-12-01,4.0,59808,Gallery at Domain,North Central Austin,316,785,2015,"Austin-Round Rock, TX"
True,2018-02-01,2019-01-01,11.0,91009,Gallery at Domain Edge and Parkside,North Central Austin,587,778,2018,"Austin-Round Rock, TX"
True,2013-10-01,2014-10-01,12.0,36483,Gibson Flats,South Austin,202,778,2014,"Austin-Round Rock, TX"
True,2017-04-01,2018-05-01,13.0,66159,Griffis at Riata,Northwest Austin,307,931,2017,"Austin-Round Rock, TX"
True,2008-12-01,2009-05-01,5.0,19841,Griffis Southpark,Southeast Austin,328,907,2008,"Austin-Round Rock, TX"
True,2017-08-01,2018-11-01,15.0,86194,Groves South Lamar,South Austin,307,776,2018,"Austin-Round Rock, TX"
False,2020-08-01,,,10262616,Hawthorne at Blanco Riverwalk,San Marcos,252,982,2020,"Austin-Round Rock, TX"
True,2016-07-01,2017-06-01,11.0,71730,Hays Junction I,San Marcos,207,772,2017,"Austin-Round Rock, TX"
True,2017-10-01,2018-07-01,9.0,86196,Hays Junction II,San Marcos,102,828,2018,"Austin-Round Rock, TX"
False,2019-10-01,,,90323,Hermosa Village,Cedar Park,238,1010,2020,"Austin-Round Rock, TX"
True,2015-12-01,2016-07-01,7.0,52258,HighLine,Northwest Austin,256,890,2016,"Austin-Round Rock, TX"
False,2020-03-01,,,70346,Hollybrook Ranch,Round Rock/Georgetown,336,1069,2021,"Austin-Round Rock, TX"
True,2019-05-01,2019-10-01,5.0,10255580,Hunters Crossing Apartments,Southeast Austin,182,833,2019,"Austin-Round Rock, TX"
True,2013-06-01,2013-10-01,4.0,37329,IMT at The Domain,North Central Austin,228,891,2013,"Austin-Round Rock, TX"
True,2013-10-01,2014-08-01,10.0,44462,IMT Southpark North,Far South Austin,286,857,2014,"Austin-Round Rock, TX"
True,2016-01-01,2017-06-01,17.0,44464,IMT Southpark South,Far South Austin,283,859,2016,"Austin-Round Rock, TX"
True,2018-02-01,2018-11-01,9.0,71149,Indie,East Austin,139,410,2018,"Austin-Round Rock, TX"
True,2013-04-01,2014-03-01,11.0,38377,Indigo,Cedar Park,325,908,2013,"Austin-Round Rock, TX"
True,2015-06-01,2016-10-01,16.0,44496,James on South First,Far South Austin,250,905,2016,"Austin-Round Rock, TX"
True,2014-02-01,2015-01-01,11.0,44456,Kenzie at the Domain,North Central Austin,279,851,2014,"Austin-Round Rock, TX"
True,2010-03-01,2010-09-01,6.0,41412,La Frontera Square,Round Rock/Georgetown,412,846,2009,"Austin-Round Rock, TX"
True,2012-11-01,2013-08-01,9.0,36480,Ladera,Far South Austin,311,876,2013,"Austin-Round Rock, TX"
True,2017-07-01,2018-09-01,14.0,71736,Lakeline Crossing I,Cedar Park,301,863,2017,"Austin-Round Rock, TX"
False,2020-07-01,,,71738,Lakeline Crossing II,Cedar Park,203,836,2020,"Austin-Round Rock, TX"
True,2013-09-01,2014-08-01,11.0,38376,Lakeline East,Cedar Park,348,860,2014,"Austin-Round Rock, TX"
True,2014-10-01,2017-01-01,27.0,36484,Lamar Union,South Austin,442,817,2016,"Austin-Round Rock, TX"
True,2015-02-01,2015-10-01,8.0,53330,Landmark Conservancy,Southwest Austin,240,832,2015,"Austin-Round Rock, TX"
True,2017-09-01,2019-06-01,21.0,86185,Lantower Ambrosio,Pflugerville/Wells Branch,370,753,2017,"Austin-Round Rock, TX"
True,2016-05-01,2017-09-01,16.0,57279,Lantower Tech Ridge,Pflugerville/Wells Branch,375,726,2017,"Austin-Round Rock, TX"
True,2009-03-01,2010-10-01,19.0,20040,Las Brisas Luxury Apartment Homes,Round Rock/Georgetown,414,990,2009,"Austin-Round Rock, TX"
True,2018-02-01,2019-12-01,22.0,64775,Latitude at Presidio,Cedar Park,337,1018,2018,"Austin-Round Rock, TX"
False,2020-08-01,,,10258133,Leander Junction,Cedar Park,288,793,2020,"Austin-Round Rock, TX"
True,2010-02-01,2011-03-01,13.0,33925,Legends Lakeline,Cedar Park,222,965,2010,"Austin-Round Rock, TX"
True,2017-09-01,2018-09-01,12.0,65626,Lenox Boardwalk,Riverside,338,816,2018,"Austin-Round Rock, TX"
False,2019-11-01,,,82401,Lenox Ridge,Northwest Austin,350,904,2020,"Austin-Round Rock, TX"
False,2020-04-01,,,91541,Lenox SOCO,Far South Austin,300,832,2020,"Austin-Round Rock, TX"
True,2017-10-01,2018-10-01,12.0,76201,Lenox Springs I,Far South Austin,400,825,2018,"Austin-Round Rock, TX"
False,2020-04-01,,,10261515,Linea Stillwater,Round Rock/Georgetown,230,1534,2021,"Austin-Round Rock, TX"
True,2014-07-01,2015-07-01,12.0,53642,Lone Oak,Round Rock/Georgetown,304,986,2015,"Austin-Round Rock, TX"
True,2012-08-01,2013-06-01,10.0,36477,Lotus Village,North Central Austin,222,922,2012,"Austin-Round Rock, TX"
False,2020-08-01,,,10263165,Mansions at Onion Creek,Southeast Austin,434,942,2021,"Austin-Round Rock, TX"
False,2020-04-01,,,10258176,Mariposa Flats,Riverside,122,566,2020,"Austin-Round Rock, TX"
True,2016-07-01,2017-11-01,16.0,51760,Marq on Burnet,Near North Austin,343,747,2016,"Austin-Round Rock, TX"
True,2016-04-01,2017-03-01,11.0,58357,Marq Uptown,Downtown/University,265,877,2016,"Austin-Round Rock, TX"
True,2008-08-01,2009-09-01,13.0,19960,Marquis at Canyon Ridge,East Austin,264,880,2008,"Austin-Round Rock, TX"
